iter	MultiClass
0	2.212257553
1	2.128988725
2	2.055463458
3	1.9895580494	1.936927377
5	1.881098859
6	1.824961446
7	1.773643858
8	1.724294261
9	1.68456916
10	1.64263653
11	1.603211983
12	1.566088157
13	1.530765674
14	1.497820146
15	1.464652955
16	1.434162901
17	1.404965457
18	1.377652859
19	1.348897981
20	1.325502025
21	1.301136516
22	1.279393585
23	1.25686859
24	1.237296726
25	1.21467139
26	1.194425094
27	1.173503368
28	1.153291686
29	1.135391799
30	1.118562417
31	1.101804376
32	1.082978862
33	1.06503015
34	1.050054511
35	1.034499807
36	1.018335803
37	1.003451658
38	0.9907009814
39	0.9765750327
40	0.9628544293
41	0.9494295058
42	0.9357543085
43	0.9224357415
44	0.9096657657
45	0.8973288771
46	0.8860347317
47	0.8757211875
48	0.8654847728
49	0.8534182468
50	0.8425125394
51	0.8325451743552	0.8225148443553	0.8123071267554	0.803035906
55	0.793346811
56	0.7851924007
57	0.7760234878
58	0.7662672013
59	0.7578570382
60	0.749537202
61	0.7418301805
62	0.7347449077
63	0.7258367001
64	0.7183799481
65	0.7110031525
66	0.7039813376767	0.6966545366868	0.6909800086969	0.6836373737070	0.6763942447171	0.6692114947272	0.6626955257373	0.6565322167474	0.6510888927575	0.6442465317676	0.6374135267777	0.6320590677878	0.6257119237979	0.6204403080	80	0.6152569381	81	0.6103278582	82	0.604458983	083	0.598308884	084	0.59398785	0.85	0.5882986	0.586	0.5828987	0.587	0.5780788	0.588	0.5735489	0.589	0.5686390	0.590	0.564491	0.5591	0.559492	0.5492	0.554393	0.5493	0.549694	0.5394	0.544695	0.5395	0.540196	0.5296	0.536197	0.5297	0.532198	0.5198	0.527099	0.5199	0.5229100	0.5100	0.5186101	0.5101	0.5142102	0.102	0.51094103	0.103	0.50795104	0.104	0.50421105	0.105	0.49993106	0.106	0.49575107	0.107	0.49136108	0.108	0.48795109	0.109	0.48410110	0.110	0.48051111	0.111	0.47674112	0.112	0.47373113	0.113	0.47031114	0.114	0.46711115	0.115	0.46440116	0.116	0.46116117	0.117	0.45780118	0.118	0.4548119	0.4119	0.451120	0.44120	0.449121	0.44121	0.446122	0.43122	0.443123	0.43123	0.440124	0.43124	0.437125	0.42125	0.434126	0.42126	0.432127	0.42127	0.430128	0.42128	0.427129	0.41129	0.425130	0.4130	0.4224131	0.4131	0.4196132	0.4132	0.4174133	0.4133	0.4145134	0.4134	0.4123135	0.4135	0.4099136	0.4136	0.4081137	0.3137	0.4057025867
138	0.4037139	0.3139	0.4010140	0.140	0.39873141	0.141	0.39703142	0.142	0.3951143	0.3143	0.3930144	0.3144	0.3906145	0.3145	0.3880146	0.3146	0.3859147	0.3147	0.3836148	0.3148	0.3817149	0.3149	0.3791150	0.3150	0.3770151	0.3151	0.3749152	0.3152	0.3731153	0.3153	0.3720376109
154	0.369699566
155	0.3674739525
156	0.3656702431
157	0.3638856207
158	0.3624469503
159	0.3609779861
160	0.3591445629
161	0.3574781838
162	0.3559811993
163	0.3542954621
164	0.3523933624
165	0.350952226
166	0.3491289249
167	0.3470191247
168	0.3453062907
169	0.3434450138
170	0.3417634044
171	0.3404635351
172	0.3386386401
173	0.3372736995
174	0.3358744701
175	0.3343203209
176	0.3330790594
177	0.3316019469
178	0.3304055511
179	0.3286879019
180	0.3272435794
181	0.3259709905
182	0.3241994656
183	0.3226957904
184	0.3211400126
185	0.3203197432
186	0.3185574295
187	0.3173152351
188	0.3158524647
