iter	Passed	Remaining
0	686	685637
1	1312	654930
2	1952	648832
3	2582	642945
4	3206	638113
5	3913	648369
6	4539	643939
7	5191	643807
8	5833	642368
9	6488	642406
10	7101	638447
11	7734	636803
12	8390	637006
13	9055	637735
14	9733	639177
15	10460	643337
16	11130	643608
17	11828	645318
18	12537	647353
19	13175	645598
20	13887	647434
21	14554	647029
22	15297	649824
23	16099	654729
24	16830	656383
25	17554	657614
26	18274	658566
27	18942	657585
28	19584	655743
29	20333	657461
30	21063	658408
31	21760	658256
32	22447	657765
33	23097	656252
34	23848	657526
35	24546	657294
36	25307	658666
37	25994	658076
38	26807	660569
39	27551	661243
40	28273	661327
41	28997	661421
42	29672	660387
43	30373	659943
44	31097	659967
45	31819	659898
46	32582	660657
47	33336	661175
48	34177	663325
49	34893	662977
50	35592	662306
51	36333	662391
52	37058	662157
53	37792	662071
54	38574	662778
55	39277	662112
56	40041	662441
57	40770	662169
58	41485	661650
59	42302	662734
60	43092	663344
61	43870	663721
62	44665	664304
63	45387	663794
64	46144	663765
65	46952	664452
66	47747	664900
67	48528	665131
68	49392	666434
69	50178	666654
70	50996	667259
71	51721	666626
72	52539	667183
73	53334	667405
74	54163	668016
75	54916	667674
76	55706	667758
77	56506	667936
78	57329	668360
79	58139	668603
80	58945	668780
81	59773	669168
82	60541	668872
83	61342	668929
84	62232	669915
85	62988	669433
86	63752	669037
87	64514	668604
88	65361	669033
89	66184	669197
90	66989	669161
91	67825	669403
92	68552	668572
93	69355	668472
94	70183	668587
95	70969	668294
96	71887	669221
97	72696	669108
98	73449	668460
99	74242	668179
100	75073	668228
101	75803	667365
102	76591	667016
103	77500	667695
104	78371	668022
105	79182	667826
106	79892	666768
107	80639	666022
108	81525	666417
109	82276	665688
110	83084	665422
111	83951	665613
112	84774	665441
113	85579	665115
114	86403	664933
115	87281	665147
116	88108	664958
117	88905	664534
118	89693	664032
119	90501	663678
120	91299	663241
121	92151	663188
122	92981	662968
123	93721	662096
124	94537	661760
125	95389	661671
126	96203	661302
127	97137	661751
128	98055	662062
129	98952	662217
130	99780	661904
131	100585	6614221132	101476	6615061133	102238	6607361134	103097	6605901135	103990	6606471136	104926	6609631137	105746	660534
138	106599	6603001139	107403	6597671140	108192	6591311141	109092	6591661142	109971	6590601143	110800	6586451144	111633	6582521145	112410	6575231146	113262	6572311147	114084	6567581148	114946	6565041149	115751	6559231150	116570	6554211151	117403	6549881152	118253	6546421153	119206	654860
154	119970	654034
155	120802	653571
156	121753	653747
157	122601	653356
158	123507	653269
159	124453	653379
160	125313	653033
161	126168	652651
162	127079	652547
163	127910	652032
164	128779	651703
165	129679	651522
166	130531	651095
167	131364	650569
168	132191	650006
169	133006	649386
170	133896	649122
171	134769	648774
172	135491	647697
173	136384	647436
174	137284	647197
175	138132	646709
176	139040	646499
177	139867	645906
178	140782	645711
179	141562	644897
180	142401	644346
181	143278	643964
182	144099	643331
183	144975	642935
184	145822	642408
185	146751	642235
186	147531	641406
187	148458	641212
188	149354	640881
189	150209	640368
190	151063	639846
191	151900	639247
192	152758	638736
193	153522	637832
194	154465	637663
195	155327	637158
196	156210	636736
197	157041	636098
198	158000	635970
199	158880	635520
200	159674	634727
201	160532	634182
202	161370	633557
203	162219	632973
204	163114	632564
205	163945	631905
