iter	Logloss
0	0.6791925586
1	0.6626075798
2	0.6497426628
3	0.6380464919
4	0.6273521773
5	0.6141819596
6	0.6030273883
7	0.5930700275
8	0.5848970324
9	0.5774703958
10	0.570720119
11	0.5640030323
12	0.5540099032
13	0.5464009489
14	0.540671539
15	0.5356613269
16	0.5307615492
17	0.5262770054
18	0.5202890091
19	0.5163656609
20	0.5125454234
21	0.5092219392
22	0.5063713771
23	0.5016817962
24	0.4983558586
25	0.4958790848
26	0.4933327682
27	0.4909426656
28	0.4885407384
29	0.4845936431
30	0.4797769454
31	0.4781098175
32	0.4749039427
33	0.4734635029
34	0.4709204015
35	0.4697545882
36	0.465572624
37	0.4645308739
38	0.4622918402
39	0.4596914058
40	0.4588813575
41	0.4563702373
42	0.4532899204
43	0.451119704
44	0.4505656733
45	0.4465747312
46	0.4460915617
47	0.4455957539
48	0.4429942111
49	0.439011321
50	0.4371290594
51	0.4362913756
52	0.4330376408
53	0.4303142149
54	0.4274194731
55	0.4262782928
56	0.4223352658
57	0.4183900844
58	0.4169483555
59	0.4152843779
60	0.4116659827
61	0.4098689602
62	0.4063863948
63	0.4039458067
64	0.4014750702
65	0.4003260576
66	0.399050148
67	0.3960992601
68	0.3946112415
69	0.3920326469
70	0.3899050086
71	0.3877331642
72	0.3858190005
73	0.383862399
74	0.3821016753
75	0.3802336276
76	0.3786434381
77	0.3765790886
78	0.3757010871
79	0.3745458018
80	0.3733000464
81	0.3716702728
82	0.3703620015
83	0.3691335358
84	0.3675977666
85	0.3665758507
86	0.3652626254
87	0.3632787889
88	0.3626864164
89	0.3614864667
90	0.3602176681
91	0.3591209985
92	0.357809377
93	0.3569416503
94	0.35564898
95	0.3549059789
96	0.3538441322
97	0.3535586127
98	0.3532986473
99	0.3526652361
100	0.3510250607
101	0.3496377512
102	0.3487507034
103	0.3479531692
104	0.3472677476
105	0.3464978155
106	0.3459372117
107	0.345719298
108	0.3453315377
109	0.3449902543
110	0.3435309886
111	0.3430011731
112	0.3422598367
113	0.3416119543
114	0.3407454158
115	0.3395747518
116	0.339240127
117	0.3379137059
118	0.3376274927
119	0.3365637932
120	0.3358287596
121	0.3350513858
122	0.334817721
123	0.3345965773
124	0.3339921491
125	0.3336567272
126	0.3334330825
127	0.3325302412
128	0.3312824533
129	0.3309559723
130	0.3302719183
131	0.3300155236
132	0.3295822975
133	0.3293766267
134	0.3287572328
135	0.3282114286
136	0.3270883574
137	0.3263798773
138	0.3262426569
139	0.3259605371
140	0.3251121668
141	0.3245463252
142	0.3242887325
143	0.3236053947
144	0.3232826988
145	0.3228562243
146	0.32232979
147	0.3221200861
148	0.3217375823
149	0.3209961797
150	0.3208422247
151	0.3206912015
152	0.3199948768
153	0.3190161082
154	0.3188637915
155	0.3185494566
156	0.3183199635
157	0.3180025359
158	0.3175166387
159	0.3167951144
160	0.3166835274
161	0.3161250463
162	0.3159214603
163	0.3154826744
164	0.3153141146
165	0.3150449511
166	0.3147113392
167	0.3144769938
168	0.3143206882
169	0.3142039881
170	0.3136001622
171	0.3132746627
172	0.3130809622
173	0.3128925038
174	0.3124349412
175	0.3122746842
176	0.3120493871
177	0.3113401723
178	0.310754662
179	0.3105151724
180	0.3096292604
181	0.3088401224
182	0.3086161457
183	0.3080999987
184	0.3080008041
