iter	Passed	Remaining
0	4	1963
1	10	2032
2	14	1973
3	19	1956
4	25	2010
5	31	2039
6	35	2014
7	40	1998
8	45	1975
9	50	1961
10	54	1935
11	59	1927
12	64	1926
13	69	1921
14	74	1912
15	79	1904
16	84	1900
17	89	1891
18	94	1885
19	97	1847
20	102	1842
21	106	1838
22	111	1832
23	116	1826
24	122	1830
25	126	1822
26	131	1818
27	136	1810
28	141	1805
29	145	1799
30	151	1799
31	156	1796
32	160	1790
33	165	1783
34	170	1781
35	175	1777
36	180	1772
37	186	1772
38	190	1765
39	195	1759
40	200	1754
41	205	1749
42	210	1748
43	215	1743
44	220	1739
45	225	1732
46	229	1726
47	234	1720
48	239	1715
49	244	1709
50	249	1704
51	254	1700
52	259	1695
53	264	1693
54	268	1686
55	273	1680
56	278	1676
57	283	1668
58	288	1665
59	293	1661
60	297	1655
61	302	1651
62	308	1647
63	312	1642
64	318	1639
65	322	1634
66	328	1631
67	333	1625
68	338	1622
69	343	1618
70	348	1614
71	353	1610
72	358	1605
73	363	1599
74	367	1594
75	372	1589
76	377	1584
77	382	1580
78	387	1575
79	392	1570
80	397	1567
81	402	1561
82	407	1556
83	412	1551
84	417	1546
85	422	1541
86	427	1536
87	432	1533
88	437	1527
89	441	1521
90	446	1515
91	451	1511
92	456	1507
93	461	1501
94	466	1496
95	470	1491
96	475	1485
97	480	1479
98	484	1474
99	490	1470
100	495	1465
101	500	1462
102	505	1457
103	510	1452
104	515	1447
105	520	1443
106	525	1438
107	530	1433
108	535	1428
109	539	1423
110	544	1417
111	549	1413
112	554	1408
113	560	1404
114	564	1399
115	569	1394
116	574	1388
117	579	1383
118	583	1378
119	588	1373
120	593	1368
121	598	1363
122	603	1358
123	608	1353
124	612	1348
125	617	1342
126	622	1337
127	627	1332
128	632	1328
129	637	1324
130	642	1319
131	647	1314
132	652	1309
133	656	1303
134	661	1298
135	666	1294
136	671	1289
137	676	1285
138	681	1280
139	687	1276
140	691	1271
141	696	1265
142	701	1260
143	706	1255
144	711	1251
145	716	1246
146	721	1241
147	726	1236
148	731	1231
149	736	1227
150	741	1222
151	746	1218
152	751	1212
153	756	1208
154	761	1203
155	766	1198
156	771	1193
157	776	1188
158	780	1183
159	785	1178
160	791	1174
161	795	1169
162	801	1165
163	806	1160
164	811	1155
165	817	1151
166	822	1147
167	826	1141
168	832	1137
169	836	1132
170	841	1127
171	846	1122
172	851	1117
173	856	1112
174	862	1108
175	867	1103
176	872	1099
177	877	1094
178	882	1089
179	887	1084
180	892	1079
181	897	1074
182	901	1069
183	906	1064
184	911	1059
185	916	1054
186	921	1049
187	926	1045
188	932	1040
189	937	1035
190	941	1030
191	946	1025
192	952	1021
193	957	1016
194	961	1010
195	966	1005
196	971	1001
197	976	996
198	981	991
199	986	986
200	991	981
201	996	976
202	1001	971
203	1006	966
204	1010	961
205	1015	956
206	1020	951
207	1025	946
208	1030	941
209	1034	936
210	1039	931
211	1044	926
212	1049	921
213	1054	916
214	1058	910
215	1064	906
216	1069	901
217	1074	896
218	1078	891
219	1083	886
220	1088	881
221	1093	876
222	1098	872
223	1103	866
224	1108	862
225	1113	857
226	1118	852
227	1123	847
228	1128	842
