iter	Logloss
0	0.6527675304
1	0.6202503623
2	0.5988563191
3	0.5782637302
4	0.5586145539
5	0.5475649047
6	0.5340959075
7	0.5176436289
8	0.511113007
9	0.4922994607
10	0.4798280596
11	0.474189993
12	0.4615582217
13	0.4540147706
14	0.4424555777
15	0.4407359815
16	0.4316267644
17	0.4224541834
18	0.4160513743
19	0.4140481056
20	0.4101301727
21	0.4053153171
22	0.4041378484
23	0.4001909337
24	0.3952730667
25	0.3887163747
26	0.3840869879
27	0.3798252827
28	0.377664671
29	0.3730294247
30	0.3702918827
31	0.3677575085
32	0.3669161164
33	0.363373172
34	0.3613713118
35	0.3601199977
36	0.359630558
37	0.3586990471
38	0.3550794391
39	0.3544106184
40	0.3535303004
41	0.3529176449
42	0.3498475246
43	0.3489496572
44	0.3477735664
45	0.3464608464
46	0.3425578319
47	0.3420515311
48	0.3405752221
49	0.3399512241
50	0.3383908678
51	0.3376765697
52	0.3366003218
53	0.335216153
54	0.3339463483
55	0.332995191
56	0.3313368611
57	0.3285557785
58	0.3281767205
59	0.3274510662
60	0.3234528108
61	0.3223036968
62	0.321950848
63	0.3202802015
64	0.3201113019
65	0.3182406002
66	0.3174535137
67	0.3159509018
68	0.3149006778
69	0.3130191076
70	0.3124211444
71	0.3116139303
72	0.3108197651
73	0.3075330043
74	0.3063200358
75	0.3055859489
76	0.303615138
77	0.3023402572
78	0.3007431647
79	0.2985963756
80	0.2970956218
81	0.2956622885
82	0.2946307393
83	0.2934183282
84	0.2921512427
85	0.2914290763
86	0.2908387866
87	0.2901193874
88	0.2893874588
89	0.2884932067
90	0.2883065228
91	0.2874133304
92	0.2871714964
93	0.286080095
94	0.2837027174
95	0.2836155696
96	0.2813930611
97	0.2800899265
98	0.2794899638
99	0.2784128623
100	0.2767735455
101	0.2766577886
102	0.2741249765
103	0.2722575361
104	0.2707851268
105	0.2706576608
106	0.2705109468
107	0.2704495079
108	0.2696960828
109	0.268611264
110	0.2672578451
111	0.2671893357
112	0.2662922524
113	0.2651599341
114	0.2632764144
115	0.2623651133
116	0.2613774169
117	0.2603009812
118	0.2595393162
119	0.2591286505
120	0.2579202212
121	0.2576936894
122	0.2565589365
123	0.255907648
124	0.2556124465
125	0.2553310702
126	0.2547674783
127	0.2537228015
128	0.2532450244
129	0.2525509959
130	0.2524915431
131	0.2518390805
132	0.2511221635
133	0.2503130598
134	0.2494920518
135	0.2486728811
136	0.2485937784
137	0.247826224
138	0.2468690183
139	0.2463691977
