iter	Passed	Remaining
0	1	219
1	2	199
2	4	193
3	5	188
4	6	186
5	8	188
6	9	185
7	11	189
8	12	189
9	14	189
10	16	188
11	17	189
12	19	192
13	21	190
14	22	191
15	24	189
16	26	191
17	28	190
18	29	188
19	31	187
20	32	186
21	34	184
22	35	183
23	37	182
24	39	180
25	40	178
26	42	176
27	43	175
28	45	173
29	47	172
30	48	170
31	50	169
32	51	166
33	52	164
34	54	163
35	56	162
36	57	161
37	59	158
38	60	157
39	62	155
40	63	153
41	65	152
42	66	150
43	68	148
44	69	147
45	71	145
46	73	144
47	74	143
48	76	141
49	77	140
50	79	138
51	80	136
52	82	134
53	83	133
54	85	131
55	86	129
56	87	128
57	89	126
58	90	124
59	92	123
60	93	121
61	95	120
62	96	118
63	98	117
64	100	116
65	102	114
66	103	113
67	105	111
68	107	110
69	108	108
70	111	108
71	112	106
72	114	104
73	115	103
74	117	101
75	119	100
76	121	99
77	122	97
78	124	96
79	125	94
80	127	92
81	128	91
82	130	89
83	131	87
84	133	86
85	135	84
86	136	83
87	138	81
88	139	79
89	141	78
90	142	76
91	144	75
92	145	73
93	147	72
94	148	70
95	150	68
96	151	67
97	153	65
98	154	64
99	156	62
100	157	60
101	159	59
102	160	57
103	162	56
104	163	54
105	165	53
106	166	51
107	168	49
108	169	48
109	172	46
110	173	45
111	175	43
112	176	42
113	178	40
114	179	39
115	181	37
116	182	35
117	184	34
118	185	32
119	187	31
120	188	29
121	190	28
122	192	26
123	193	24
124	194	23
125	196	21
126	197	20
127	199	18
128	200	17
129	202	15
130	203	13
131	205	12
132	207	10
133	208	9
134	210	7
135	211	6
136	213	4
137	214	3
138	216	1
139	218	0
